DOI,sensor type (gas/liquid),detect target,lower detection limit (log ppm),upper detection limit (log ppm),probe material,test operating temperature (celcius),pH value (-1 for gas detect),test medium/electrolyte
10.1016/j.snb.2021.130956,liquid,cs+,-11.87614836,0.123851641,calix[4]arene/benzo-12-crown 4-ether,25,7.2,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1541/ieejsmas.130.407,gas,hydrogen,0.903089987,3.903089987,platinum,100,-1,oxygen/nitrogen
10.1039/d3an00772c,liquid,uric acid,-1.996255201,-0.774406452,molybdenum disulfide,25,7,isopropyl alcohol
10.1109/TNANO.2014.2318710,liquid,h+,-10,2,carbon nanotube,25,,water
10.1021/acs.nanolett.8b02898,liquid,h+,-7,1,carbon nanotube,25,,water
10.1021/acsami.3c05185,gas,diethyl sulfide,1,2.017033339,nickel,25,-1,oxygen/nitrogen
10.1117/12.2604748,gas,nitrogen dioxide,-0.301029996,1.477121255,"poly(3-hexylthiophene-2,5-diyl)",25,-1,oxygen/nitrogen
10.1063/1.3610554,liquid,h+,-7,1,carbon nanotube/nickel,25,,water
10.7567/JJAP.56.04CM07,liquid,glucose,0.209886419,2.153271001,gold/4-mercaptophenylboronic acid,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1038/s41598-017-03209-7,liquid,h+,-9,1,cerium oxide/yttrium oxide,25,,water
10.1109/TED.2023.3287509,gas,hydrogen sulfide,-3,0,"poly[2,6-(4,4-bis-(2-ethylhexyl)-4h-cyclopenta[2,1-b;3,4-b′] dithiophene)-alt-4,7(2,1,3 benzothiadiazole)]",25,-1,oxygen/nitrogen
10.1016/j.mee.2022.111841,gas,sulfur dioxide,1,1.903089987,graphene/phenol/ethylene oxide/benzoic acid/titanium dioxide,25,-1,oxygen/nitrogen
10.1021/acsami.3c19431,liquid,glucose,-0.308193444,3.255643909,"nickel(ii) nitrate hexahydrate/pyrene-1,3,6,8-tetraphosphonic acid",25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.ceramint.2018.04.047,liquid,h+,-9,1,cerium titanate,25,,water
10.1109/ICSENS.2018.8589929,gas,acetone,1.477121255,2.176091259,tungsten trioxide,25,-1,oxygen/nitrogen
10.1109/JSEN.2023.3271598,gas,nitrogen dioxide,-1.795880017,0.146128036,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno[3,2-b]-thiophene)]",25,-1,oxygen/nitrogen
10.1016/j.apsusc.2017.04.248,liquid,h+,-8,0,chitosan,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2017.03.020,liquid,h+,-9,1,copper(ii) sulfide,25,,water
10.1007/s10825-019-01373-9,liquid,trinitrotoluene,-1.643974143,0.054995862,3-aminopropyltriethoxysilane,25,7,water
10.1109/ICSENS.2010.5690525,gas,hydrogen,2,4,platinum,115,-1,oxygen/nitrogen
10.3390/s21020624,gas,nitrogen dioxide,1,,gallium nitride,20,-1,oxygen/nitrogen
10.1103/PhysRevApplied.14.054014,gas,nitrogen dioxide,-4,0.698970004,molybdenum disulfide,25,-1,nitrogen
10.18494/SAM.2019.2317,liquid,l-serine,1.301029996,2,ethylene glycol dimethacrylate-co-methacrylic acid,25,7,water
10.1002/smll.202308857,gas,nitrogen dioxide,-0.397940009,0.477121255,zinc telluride,25,-1,oxygen/nitrogen
10.1021/acsami.3c18605,liquid,cortisol,-12.44073991,-0.440739914,phosphorus,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.sna.2022.113679,gas,dimethyl methylphosphonate,-0.698970004,1.477121255,graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.1088/0022-3727/43/37/374020,liquid,h+,-9,1,diamond,25,,water
10.24425/mms.2020.132777,gas,hydrogen,2.342422681,4.598790507,carbon/palladium,25,-1,nitrogen
10.1109/TNB.2021.3112539,liquid,glucose,2.255643909,3.158733896,copper(ii) oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acsnano.3c02626,gas,benzene,0.096910013,1.176091259,tetraphenylporphyrin/carbon nanotube,25,-1,oxygen/nitrogen
10.1021/la200471b,liquid,h+,-7,1,ethyl undecylenate,25,,potassium chloride/water
10.1016/j.sna.2018.01.033,liquid,hg2+,-4.301029996,-1.071604148,graphite,25,7,water
10.1109/TIM.2024.3398086,gas,ammonia,-0.920818754,-0.045757491,gold,25,-1,nitrogen
10.23919/AM-FPD49417.2020.9224482,gas,nitrogen dioxide,0,1.301029996,tin(ii) oxide,25,-1,oxygen/nitrogen
10.1016/j.cej.2022.137097,gas,dimethyl methylphosphonate,-8,-1,"poly(3-hexylthiophene-2,5-diyl)",25,-1,oxygen/nitrogen
10.1007/s10853-010-4603-4,liquid,h+,-9,1,fluorine/tin(iv) oxide,25,,water
10.1016/j.aca.2022.340719,liquid,glucose,-2.744356091,3.653583918,gold/carbon nanotube,25,7.4,glycerol/sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.3390/ijms24076164,liquid,potassium chloride,0.591064607,4.591064607,valinomycin,25,7,water
10.1016/j.snb.2023.133458,liquid,cortisol,-3.139709918,-1.733169738,"1,2-diaminobenzene",25,7.4,sodium chloride/potassium chloride/disodium hydrogen phosphate/potassium dihydrogen phosphate/water
10.1088/1361-6641/abb288,liquid,lactic acid,-0.246031073,1.954628378,3-carboxy-5-nitrophenylboronic acid,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2023.134123,liquid,f-,-1.494307493,2.698970004,lanthanum fluoride,25,7,water
10.1016/j.matlet.2020.128132,gas,ammonia,2.397940009,3,graphene,25,-1,oxygen/nitrogen
10.1016/j.synthmet.2018.02.008,liquid,h+,-5,1,fluorine/tin(iv) oxide,25,,water
10.1016/j.snb.2020.128955,liquid,na+,0.139879086,1.361727836,polyethylene glycol,25,7,water
10.1117/12.2218397,liquid,potassium chloride,-3.127552352,-1.127552352,poly(3-hexylthiophene),25,7,water
10.1109/ICEE50728.2020.9777024,gas,ammonia,0.698970004,1.698970004,platinum diselenide,25,-1,nitrogen
10.1016/j.sbsr.2020.100394,liquid,hydrogen sulfide,2.434568904,4.230448921,acrylonitrile/butadiene,25,8,water
10.1109/OJNANO.2022.3217255,gas,ammonia,0,1.361727836,"poly[2,5-bis(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5’-(2,5-di(thien-2-yl)thieno[3,2-b]thiophene)]",25,-1,nitrogen
10.7567/JJAP.52.05DC02,gas,water,3.301029996,4,pentacene,25,-1,oxygen/nitrogen
10.1016/j.apsusc.2013.09.080,liquid,h+,-7,1,gadolinium oxide/titanium dioxide,25,,water
10.1109/EDSSC.2016.7785309,gas,hydrogen,0,3,palladium,25,-1,oxygen/nitrogen
10.1109/SMELEC.2010.5549371,liquid,h+,-8.9,1.3,gallium nitride,25,,water
10.1016/j.snb.2019.02.039,liquid,h+,-8,-0.5,gallium nitride,25,,sodium chloride/water
10.1016/j.dyepig.2020.109017,gas,nitrogen dioxide,-0.721246399,1.698970004,triethylamine,25,-1,nitrogen
10.1016/j.snb.2021.129598,gas,carbon dioxide,2.602059991,3.602059991,indium oxide,50,-1,oxygen/nitrogen
10.1007/s11664-021-09210-1,liquid,h+,-9,1,gallium nitride,25,,water
10.1016/j.snb.2023.135184,gas,dimethyl methylphosphonate,-2,,"thiazole/3-octylthiophene/2-(thiophen-3-yl)-1,3-thiazole-5-carbaldehyde/malononitrile",26,-1,oxygen/nitrogen
10.7567/JJAP.54.06FF11,gas,oxygen,1,3,graphene,25,-1,oxygen/nitrogen
10.1109/ICSENS.2013.6688369,gas,nitrogen dioxide,-4,-0.301029996,silicon,30,-1,oxygen/nitrogen
10.1021/acsami.3c11191,gas,carbon monoxide,-0.698970004,0.477121255,fluorine/graphene,25,-1,nitrogen
10.1109/TED.2021.3083208,gas,nitrogen dioxide,-1,2.698970004,indium oxide,105,-1,oxygen/nitrogen
10.1109/ICSENS.2014.6984933,gas,ammonia,0,2.698970004,bis-methoxyphenol-perylene tetracarboxyllicdiimide,25,-1,oxygen/nitrogen
10.1109/TED.2020.2973288,gas,hydrogen,2.301029996,4.176091259,palladium,30,-1,oxygen/nitrogen
10.1016/j.mseb.2023.117113,liquid,h+,-8,0,gallium oxide,25,,water
10.1007/s10854-019-02429-z,gas,nitrogen dioxide,1,,poly(vinyl alcohol),25,-1,oxygen/nitrogen
10.1021/acsami.4c02352,liquid,ammonia,-1.956637722,1.230448921,molybdenum diselenide,25,6.8,water/potassium chloride/sodium chloride/magnesium chloride/calcium chloride/sodium dihydrogen phosphate dihydrate/disodium sulfide nonahydrate/sorbitol 
10.1016/j.cej.2024.152319,gas,nitrogen dioxide,-2,0.301029996,cobalt,25,-1,nitrogen
10.1016/j.jssc.2024.124934,liquid,h+,-8,0,gallium oxide,25,,water
10.1021/acsaelm.2c00650,gas,nitrogen dioxide,1,1.698970004,sodium aluminosilicate,25,-1,oxygen/nitrogen
10.3390/bios12060368,liquid,l-glutamine,0.766829094,3.465799099,aluminum oxide,25,4.9,acetate/water
10.1002/celc.201700419,liquid,glucose,0.857708722,2.556678726,4-mercaptophenylboronic acid/gold,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/DevIC50843.2021.9455761,gas,hydrogen,-11.87942607,-6.879426069,palladium,25,-1,oxygen/nitrogen
10.1109/BMEiCON.2014.7017392,liquid,serine,1.84509804,2,graphene,25,7,water
10.1016/j.dyepig.2018.05.036,gas,nitric oxide,1.397940009,2.301029996,platinum,118,-1,nitrogen
10.1109/iCBEB.2012.135,liquid,quinine,-0.488896396,3.511103604,tungstophosphoric acid,25,7,water
10.1039/d2cc01899c,gas,ammonia,-2,2,benzo(ghi)perylene,25,-1,nitrogen
10.1063/1.3518060,liquid,"2,4-dinitrotoluene",0,,diamond,25,7,water
10.1016/j.snb.2012.09.109,liquid,h+,-7,-1,gallium oxide,25,,water
10.1016/j.ijhydene.2015.02.126,gas,hydrogen,3,3.698970004,palladium,150,-1,nitrogen
10.1109/ICSENS.2011.6127046,gas,nitrogen dioxide,1.698970004,2.301029996,silicon carbide,300,-1,oxygen/nitrogen
10.3390/bios13050516,liquid,dopamine,-8.814797935,-0.814797935,tin(iv) oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1007/s00216-022-04306-x,liquid,"1,2-diphenylethylenediamine",-7.673070463,1.326929537,cellulose/trimethylolpropane tris((3-isocyanato-4-methylphenyl)carbamate),25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1039/d0cp05710j,liquid,nicotine,1.988282419,,molybdenum disulfide,25,7,isopropyl alcohol
10.1063/1.3647561,gas,carbon monoxide,2,2.397940009,zinc oxide,150,-1,nitrogen
10.3390/bios13010089,liquid,na+,-0.638272164,4.361727836,sodium ionophore iii,25,7.4,tromethamine/hydrochloric acid/water
10.3390/bios13010089,liquid,k+,-0.408935393,4.591064607,valinomycin,25,7.4,tromethamine/hydrochloric acid/water
10.1109/ICSENS.2010.5690196,liquid,dopamine,-9.814797935,-3.814797935,4-carboxyphenylboronic acid,25,6,2-(n-morpholino)ethanesulfonic acid/water
10.1109/NANO58406.2023.10231318,liquid,hydrogen sulfide,-1.468521083,0.531478917,molybdenum diselenide,25,7,water
10.1016/j.envres.2023.117193,liquid,cobalt ferrite,-10.65493617,-7.696328855,carbaryl,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.envres.2023.117193,liquid,cobalt ferrite,-10.81001868,-7.655116721,carbofuran,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2019.127609,liquid,h+,-7,-1,gallium oxide,25,,water
10.1109/TED.2019.2920990,liquid,biotin,-1.301029996,1.698970004,indium oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1246/bcsj.20180065,liquid,citric acid,1.774943314,2.28358162,nickel nitrilotriacetic acid,25,7,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.mejo.2014.05.017,gas,1-butanol,1.759667845,2.361727836,"poly(2,5-bis(3-tetradecylthiophen-2-yl)thienol [3,2-b]thiophene)",25,-1,nitrogen
10.1016/j.bios.2024.116560,liquid,na+,-0.638272164,3.565847819,silicon nitride,25,7.9,tris(hydroxymethyl)aminomethane/sodium chloride/potassium nitrate/water
10.1016/j.mssp.2019.104626,liquid,glucose,2.556678726,3.100746771,nickel,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1149/08615.0013ecst,gas,ammonia,-2.397940009,0.602059991,graphene,425,-1,nitrogen
10.1016/j.snb.2014.12.025,liquid,h+,-9,1,gallium oxide,25,,water
10.1002/masy.201400131,gas,ammonia,0.954242509,,polypyrrole,25,-1,nitrogen
10.1016/j.mseb.2021.115542,liquid,h+,-8,2,gallium oxide,25,,water
10.1149/2.0031807jss,liquid,urea,1.778585328,2.67840583,fluorine/tin dioxide,25,6,water/sodium phosphate/citric acid/sodium citrate
10.3390/s23177554,liquid,hg2+,-2.464694611,-0.396660726,thiourea/polystyrene,21,7,water
10.1186/s11671-018-2652-9,gas,nitrogen dioxide,1,1.477121255,molybdenum disulfide,25,-1,oxygen/nitrogen
10.1186/s11671-018-2652-9,gas,ammonia,1,1.477121255,molybdenum disulfide,25,-1,oxygen/nitrogen
10.1021/acsapm.9b00707,gas,methanol,3.934498451,,carbon nanotube,23,-1,oxygen/nitrogen
10.1016/j.snb.2012.08.076,gas,"2,4,6-trinitrotoluene",1.77815125,,poly(3-hexylthiophene),60,-1,oxygen/nitrogen
10.1021/acsanm.4c01880,gas,ammonia,-1.795880017,2.301029996,carbon nanotube/cu2+/dipyrrin,25,-1,oxygen/nitrogen
10.3390/app14146131,liquid,h+,-6.18,-1,gold,25,,water
10.1016/j.snb.2023.135027,liquid,k+,0.591064607,3.591064607,"poly(3,4-ethylenedioxythiophene)/polystyrene sulfonate",25,7,magnesium chloride/water
10.7567/JJAP.55.067102,gas,hydrogen,2,4,titanium dioxide/platinum,115,-1,oxygen/nitrogen
10.1002/adma.201505641,gas,xylene,1.602059991,2.176091259,poly(diketopyrrolopyrrole-terthiophene),25,-1,nitrogen
10.1038/ncomms9632,gas,nitrogen dioxide,-1.698970004,0,phosphorus,25,-1,oxygen/nitrogen
10.1021/acsami.2c06904,gas,ammonia,-1,1,"poly(diketopyrrolopyrrolethiophene-thieno[3,2-b]thiophene–thiophene)",25,-1,oxygen/nitrogen
10.1109/LED.2017.2707592,gas,hydrogen sulfide,0.698970004,1.875061263,tin dioxide,180,-1,oxygen/nitrogen
10.1021/acsami.4c03999,liquid,pb2+,-3.683610249,-0.683610249,glutathione,25,7,water
10.1109/ICSENS.2016.7808463,gas,nitrogen dioxide,-1,,graphene,25,-1,oxygen/nitrogen
10.1109/ICSENS.2016.7808463,gas,ammonia,-0.000012,,graphene,25,-1,oxygen/nitrogen
10.1007/s10404-010-0740-y,liquid,h+,-7,-1,gold,25,,water
10.1021/acs.analchem.3c02894,gas,nitrogen dioxide,-2.229147988,1,violet phosphorus,25,-1,oxygen/nitrogen
10.1021/acs.analchem.3c02894,gas,nitrous oxide,-0.103473783,1,violet phosphorus,25,-1,oxygen/nitrogen
10.1007/978-1-4614-0935-9_19,gas,water,3.649821463,,polyhexylthiophene,19,-1,oxygen/nitrogen
10.1021/acssensors.7b00754,gas,n-butylamine,-1,3.176091259,silicon dioxide,25,-1,nitrogen
10.1021/acssensors.7b00754,gas,ethanol,-1,3.301029996,silicon dioxide,25,-1,nitrogen
10.1109/TED.2023.3269727,gas,formaldehyde,0.698970004,3,l-ascorbic acid/graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.1109/TED.2022.3151044,gas,hydrogen,2.301029996,4.176091259,palladium,25,-1,oxygen/nitrogen
10.1021/acsami.1c09985,gas,methanethiol,2,3,n-(9-acridinyl)maleimide,25,-1,nitrogen
10.1016/j.snb.2023.134944,gas,formaldehyde,-1.698970004,0,copper(ii) oxide,175,-1,oxygen/nitrogen
10.3390/ma13092176,gas,water,3.371067862,4.325310372,tin(iv) oxide,25,-1,oxygen/nitrogen
10.1038/s41598-023-34617-7,gas,ammonia,1,1.698970004,curcumin/graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.1149/1945-7111/ad6e21,liquid,h+,-9,1,gold/gallium nitride/aluminum nitride/gallium nitride,25,,water
10.3390/s16060917,gas,nitrogen dioxide,-2,-1.301029996,tin(iv) oxide,25,-1,nitrogen
10.1021/acssensors.2c02562,liquid,tetracycline,-2.452371245,-0.352191747,tetraethyl orthosilicate/3-aminopropyltriethoxysilane/tetracycline,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/admt.202301786,liquid,k+,-0.408935393,3.591064607,polyvinyl chloride,25,7.4,water
10.1063/5.0165876,liquid,h+,-7,-1,graphene,25,,water/phosphoric acid
10.1088/0256-307X/37/9/098501,gas,oxygen,2.994756945,4.994299552,zinc oxide/copper oxide/rhodium oxide,25,-1,oxygen/nitrogen
10.1039/d1nr05992k,liquid,hg2+,-6.697690722,-0.697690722,molybdenum disulfide,25,7,water
10.1109/NMDC.2016.7777070,gas,ethanol,0.113943352,,carbon nanotube,25,-1,oxygen/nitrogen
10.1016/j.microc.2022.108043,liquid,nitrate,-4.093664958,-0.207608311,triethylamine,25,7,water
10.1016/j.jmst.2023.04.010,liquid,hg2+,-3.096910013,0.380211242,rhenium sulfide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1117/12.2187021,gas,nitric oxide,0,1.602059991,poly(3-hexylthiophene),25,-1,oxygen/nitrogen
10.1016/j.snb.2019.127147,gas,nitrogen dioxide,-1,0.397940009,zinc oxide,180,-1,oxygen/nitrogen
10.1007/s11431-014-5539-8,gas,nitrogen dioxide,-0.698970004,0,alpha-sexithiophene,25,-1,oxygen/nitrogen
10.5194/jsss-8-261-2019,gas,ammonia,1,2,lithium oxide/tungsten trioxide,300,-1,oxygen/nitrogen
10.1002/admt.202100481,liquid,h+,-9,0,graphene,25,,water
10.1149/2162-8777/ad3d86,gas,hydrogen,2.301029996,,platinum,25,-1,oxygen/nitrogen
10.1016/j.apsusc.2024.161025,gas,nitrogen dioxide,-1.301029996,1,titanium carbide,25,-1,oxygen/nitrogen
10.1016/j.diamond.2018.11.005,liquid,h+,-9,1,graphene,25,,water
10.1007/s11664-014-3461-2,gas,acetone,1.698970004,2,copper phthalocyanine sulfonate,35,-1,oxygen/nitrogen
10.1109/NANO47656.2020.9183686,gas,nitrogen dioxide,-0.301029996,1,platinum diselenide,25,-1,nitrogen
10.1016/j.snb.2013.04.019,gas,methanol,1.698970004,3.204119983,platinum,200,-1,nitrogen
10.1016/j.mssp.2022.106927,gas,hydrogen sulfide,-0.823908741,2,zinc oxide/tin dioxide,70,-1,oxygen/nitrogen
10.1109/Transducers.2013.6626749,gas,ammonia,2.397940009,2.698970004,platinum,187,-1,nitrogen
10.1109/Transducers.2013.6626749,gas,carbon monoxide,2.397940009,2.698970004,platinum,187,-1,nitrogen
10.1088/1361-6528/abfe90,gas,nitrogen dioxide,-0.568636236,1.255272505,"6,13-bis(triisopropylsilylethynyl)pentacene",25,-1,oxygen/nitrogen
10.1109/Transducers.2013.6627199,gas,carbon monoxide,1.301029996,2.903089987,platinum,260,-1,nitrogen
10.1039/d2tb01067d,liquid,hyoscyamine,-0.538538992,0.306559048,"poly(n-isopropylacrylamide-co-2,2-dimethyl-4-pentenoic acid-co-n,n′-methylenebisacrylamide)",25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1039/d2nr05838c,liquid,h+,-8,0,graphene,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/aelm.202300872,liquid,k+,0.545307116,0.989004616,graphene,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/DRC46940.2019.9046473,gas,ammonia,2,3,platinum,25,-1,oxygen/nitrogen
10.1063/1.4819219,liquid,h+,-9,1,graphene,25,,water
10.1088/0957-0233/22/10/107002,liquid,h+,-7,-1,graphene,25,,water
10.1007/s00339-020-03627-x,gas,putrescine,-2.522878745,1.875061263,"poly[2,5-bis(2-octyldodecyl)pyrrolo-[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-2,2′:5′,2″:5″,2‴-quaterthiophene]",25,-1,oxygen/nitrogen
10.1109/SENSORS47087.2021.9639820,gas,hydrogen,3,4,indium oxide/tin dioxide,200,-1,nitrogen
10.1021/acsami.5b10183,liquid,h+,-5.25,-3.55,graphene,25,,water
10.1016/j.snb.2021.130949,liquid,nitrate,-3.743763467,1.256236533,fluoropolysiloxane,25,7,water
10.1016/j.snb.2021.130949,liquid,ammonium,-2.207608311,2.792391689,fluoropolysiloxane,25,7,water
10.1117/12.861602,gas,ammonia,0,2,poly(3-hexylthiophene),25,-1,argon
10.1016/j.matt.2019.11.004,liquid,h+,-5,-3,graphene,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.synthmet.2020.116295,gas,ammonia,0,,"4,4′,4′′,4′′′-(porphine-5,10,15,20-tetrayl)tetrakis(benzoic acid)",25,-1,nitrogen
10.7567/JJAP.52.06GK04,liquid,h+,-6.3,-1,graphene,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1088/1361-6463/ad06ec,liquid,copper(ii) phthalocyanine-tetrasulfonic acid tetrasodium salt,-1.229370345,2.992478404,zinc oxide,25,7,water
10.1002/smll.201101016,gas,nitrogen monoxide,-0.096910013,0.301029996,molybdenum disulfide,25,-1,oxygen/nitrogen
10.1021/acsnano.5b01961,gas,nitrogen dioxide,-2.301029996,-1.397940009,phosphorus,25,-1,argon
10.1021/nn100780v,liquid,dopamine,2.185202065,3.088292052,poly-l-lysine,25,7.2,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/adma.201504657,liquid,dopamine,-1.814797935,0.88417207,titanium carbide,25,7,water
10.1021/nn102803q,gas,nitrogen monoxide,2,,graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.1021/nn103043v,liquid,ca2+,-1.397072287,0.343290402,graphene/phenol/ethylene oxide/benzoic acid,25,7,water
10.1021/nn103043v,liquid,hg2+,-3.698449163,-2.251291132,graphene/phenol/ethylene oxide/benzoic acid,25,7,water
10.1002/adma.201301138,gas,ammonia,1,2,tetrathiapentacene,25,-1,oxygen/nitrogen
10.1002/anie.201000847,liquid,"2,4,6-trinitrotoluene",-8,,(3-aminopropyl)triethoxysilane,25,7,water
10.1021/ac3012895,gas,nitrogen monoxide,-1.8239,1,graphene,25,-1,oxygen/nitrogen
10.1021/ac3012895,gas,ammonia,-0.795880017,2,graphene,25,-1,oxygen/nitrogen
10.1021/ac3000336,liquid,hg2+,-2.299750713,0.454597623,gold,25,7,water
10.1016/j.bios.2011.05.025,liquid,dopamine,-3.11582793,-0.513767939,"poly(3,4-ethylenedioxythiophene)",25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/adma.201505946,gas,ammonia,1,,"poly([n,n′-bis(2-octyldodecyl)-naphthalene-1,4,5,8-bis(dicarboximide)-2,6-diyl]-alt-5,5′-(2,2′-bithiophene))",25,-1,oxygen/nitrogen
10.1002/adma.201505946,gas,ethylene,3,,"poly([n,n′-bis(2-octyldodecyl)-naphthalene-1,4,5,8-bis(dicarboximide)-2,6-diyl]-alt-5,5′-(2,2′-bithiophene))",25,-1,oxygen/nitrogen
10.1002/adma.201505946,gas,ethanol,3,,"poly([n,n′-bis(2-octyldodecyl)-naphthalene-1,4,5,8-bis(dicarboximide)-2,6-diyl]-alt-5,5′-(2,2′-bithiophene))",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-propenenitrile,-3,,trichloro(phenethyl)silane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,furfural,-2.522878745,,trichloro(phenethyl)silane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,6-methyl-5-heptene-2-one,-2.522878745,,trichloro(phenethyl)silane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentane,-0.920818754,,trichloro(phenethyl)silane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,heptane,0,,trichloro(phenethyl)silane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,decane,-0.886056648,,trichloro(phenethyl)silane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-methylpentane,1.62324929,,trichloro(phenethyl)silane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-ethyl-1-hexanol,-0.522878745,,trichloro(phenethyl)silane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,propanal,2.041392685,,trichloro(phenethyl)silane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentanal,0,,trichloro(phenethyl)silane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,acetone,1.397940009,,trichloro(phenethyl)silane,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-propenenitrile,1,,"trichloro(3,3,3-trifluoropropyl)silane",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,furfural,-0.698970004,,"trichloro(3,3,3-trifluoropropyl)silane",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,6-methyl-5-heptene-2-one,-1.301029996,,"trichloro(3,3,3-trifluoropropyl)silane",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentane,-0.602059991,,"trichloro(3,3,3-trifluoropropyl)silane",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,heptane,0.176091259,,"trichloro(3,3,3-trifluoropropyl)silane",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,decane,-0.301029996,,"trichloro(3,3,3-trifluoropropyl)silane",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-methylpentane,1.819543936,,"trichloro(3,3,3-trifluoropropyl)silane",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-ethyl-1-hexanol,-1.15490196,,"trichloro(3,3,3-trifluoropropyl)silane",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,propanal,1.903089987,,"trichloro(3,3,3-trifluoropropyl)silane",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentanal,0.301029996,,"trichloro(3,3,3-trifluoropropyl)silane",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,acetone,1.531478917,,"trichloro(3,3,3-trifluoropropyl)silane",25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,2-propenenitrile,2,,heptanoyl chloride,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,furfural,0.230448921,,heptanoyl chloride,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,6-methyl-5-heptene-2-one,-2.522878745,,heptanoyl chloride,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,pentane,0.662757832,,heptanoyl chloride,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,heptane,1.51851394,,heptanoyl chloride,25,-1,oxygen/nitrogen
10.1021/acsnano.6b03127,gas,decane,-1.698970004,,heptanoyl chloride,25,-1,oxygen/nitrogen
